dataset,model,technique,real,pred,perc_completeness
letter_9,LogisticRegression,impute_random_forest,-0.09325021739583716,-0.00319975441024953,0.050875
letter_10,LogisticRegression,impute_random_forest,-0.2623551698478641,-0.025408105749236933,0.5012375
letter_11,LogisticRegression,impute_random_forest,-0.26635632207186344,-0.02542852726706759,0.4509875
letter_12,LogisticRegression,impute_random_forest,-0.27771113114831714,-0.025586349529160026,0.4006124999999999
letter_13,LogisticRegression,impute_random_forest,-0.2479533821889306,-0.02655580684487765,0.3481125
letter_14,LogisticRegression,impute_random_forest,-0.24606148123048,-0.00855370439734194,0.299475
letter_15,LogisticRegression,impute_random_forest,-0.22288610000208808,-0.007075205987526442,0.2524
letter_16,LogisticRegression,impute_random_forest,-0.24801300673222926,-0.004525076962763564,0.2019
letter_17,LogisticRegression,impute_random_forest,-0.20295315208641296,-0.00497431340515371,0.1490875
letter_18,LogisticRegression,impute_random_forest,-0.18632535903570369,-0.0021942004385187928,0.0980249999999999
letter_19,LogisticRegression,impute_random_forest,-0.12287232968559669,-0.0029966131129788584,0.0499375
letter_20,LogisticRegression,impute_random_forest,-0.1480623850736691,-0.08782551252012286,0.4984
letter_21,LogisticRegression,impute_random_forest,-0.11612188634187781,-0.06616589127891527,0.4461125
letter_22,LogisticRegression,impute_random_forest,-0.10879064819665896,-0.0841230708243164,0.4066125
letter_23,LogisticRegression,impute_random_forest,-0.11928449739397329,-0.01824768791905545,0.3522375
letter_24,LogisticRegression,impute_random_forest,-0.08220674384018678,-0.03147618968635303,0.299725
letter_25,LogisticRegression,impute_random_forest,-0.08622956136787763,-0.032373687604177984,0.2440875
letter_26,LogisticRegression,impute_random_forest,-0.04022356319505449,-0.05111274502617137,0.2010875
letter_27,LogisticRegression,impute_random_forest,-0.012602602092325332,-0.05892597717982297,0.1530875
letter_28,LogisticRegression,impute_random_forest,0.002029945560643398,-0.06566634727316388,0.097475
letter_29,LogisticRegression,impute_random_forest,-0.009089045174367039,-0.07722343487070837,0.0484374999999999
letter_0,LogisticRegression,impute_cmeans,-0.19154199180997478,-0.032966465978799556,0.4983124999999999
letter_1,LogisticRegression,impute_cmeans,-0.21000265829619913,-0.03766587746881084,0.44755
